"No","학과명","학교명","구분","학교종류","학교지역","소재지","소재지(상세)","설립구분","주야구분","학과특성","표준분류계열(대)","표준분류계열(중)","표준분류계열(소)","관심"
"118","소프트웨어융합학과(주간)","대구가톨릭대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"119","소프트웨어융합학과(주간)","신한대학교","제2캠퍼스","대학교","경기","경기","의정부시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"120","소프트웨어융합학부(주간)","성공회대학교","본교","대학교","서울","서울","구로구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"121","소프트웨어응용학부(주간)","영남대학교","본교","대학교","경북","경북","경산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"122","소프트웨어전공(주간)","국립금오공과대학교","본교","대학교","경북","경북","구미시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"123","소프트웨어전공(주간)","국민대학교","본교","대학교","서울","서울","성북구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"124","소프트웨어전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"125","소프트웨어전공(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"126","소프트웨어학과(주간)","경북대학교","본교","대학교","대구","경북","상주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"127","소프트웨어학과(주간)","경성대학교","본교","대학교","부산","부산","남구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"128","소프트웨어학과(주간)","국립공주대학교","본교","대학교","충남","충남","천안시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"129","소프트웨어학과(주간)","국립군산대학교","본교","대학교","전북","전북","군산시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"130","소프트웨어학과(주간)","국립목포대학교","본교","대학교","전남","전남","무안군","국립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"131","소프트웨어학과(주간)","단국대학교","본교","대학교","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"132","소프트웨어학과(주간)","상명대학교","제2캠퍼스","대학교","충남","충남","천안시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"133","소프트웨어학과(주간)","상지대학교","본교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"134","소프트웨어학과(주간)","성균관대학교","본교","대학교","서울","경기","수원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"135","소프트웨어학과(주간)","성균관대학교","본교","대학교","서울","경기","수원시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"136","소프트웨어학부 소프트웨어전공(주간)","충북대학교","본교","대학교","충북","충북","청주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"137","소프트웨어학부 컴퓨터・소프트웨어전공(주간)","우송대학교","본교","대학교","대전","대전","동구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"138","소프트웨어학부(주간)","경운대학교","본교","대학교","경북","경북","구미시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"139","소프트웨어학부(주간)","광운대학교","본교","대학교","서울","서울","노원구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"140","소프트웨어학부(주간)","국민대학교","본교","대학교","서울","서울","성북구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"141","소프트웨어학부(주간)","숙명여자대학교","본교","대학교","서울","서울","용산구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"142","소프트웨어학부(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"143","소프트웨어학부(주간)","연세대학교(미래)","분교","대학교","강원","강원","원주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"144","소프트웨어학부(주간)","충북대학교","본교","대학교","충북","충북","청주시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"145","소프트웨어학전공(주간)","동서대학교","본교","대학교","부산","부산","사상구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"146","수리빅데이터전공(주간)","국립금오공과대학교","본교","대학교","경북","경북","구미시","국립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"147","스마트미디어학과(주간)","전주대학교","본교","대학교","전북","전북","전주시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"148","스마트에너지(야간)","국립목포대학교","본교","대학교","전남","전남","무안군","국립","야간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
