"No","학과명","학교명","구분","학교종류","학교지역","소재지","소재지(상세)","설립구분","주야구분","학과특성","표준분류계열(대)","표준분류계열(중)","표준분류계열(소)","관심"
"51","컴퓨터게임과(주간)","용인예술과학대학교","본교","전문대학","경기","경기","용인시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"52","컴퓨터공학&그래픽과(주간)","대전과학기술대학교","본교","전문대학","대전","대전","서구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"53","컴퓨터공학과(스마트소프트웨어공학과)(주간)","백석문화대학교","본교","전문대학","충남","충남","천안시","사립","주간","계약학과","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"54","컴퓨터공학과(주간)","장안대학교","본교","전문대학","경기","경기","화성시","사립","주간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"55","컴퓨터공학과(주간)","충남도립대학교","본교","전문대학","충남","충남","청양군","공립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"56","컴퓨터모바일융합공학과(야간)","경기과학기술대학교","본교","전문대학","경기","경기","시흥시","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"57","컴퓨터소프트웨어공학과(1년과정)(야간)","부천대학교","본교","전문대학","경기","경기","부천시","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"58","컴퓨터소프트웨어공학과(야간)","동양미래대학교","본교","전문대학","서울","서울","구로구","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"59","컴퓨터소프트웨어공학과(주간)","동양미래대학교","본교","전문대학","서울","서울","구로구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"60","컴퓨터소프트웨어과(3년제)(야간)","경민대학교","본교","전문대학","경기","경기","의정부시","사립","야간","산업체위탁","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"61","컴퓨터소프트웨어과(3년제)(주간)","경민대학교","본교","전문대학","경기","경기","의정부시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"62","컴퓨터소프트웨어과(3년제)(주간)","연성대학교","본교","전문대학","경기","경기","안양시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"63","컴퓨터소프트웨어과(야간)","부천대학교","본교","전문대학","경기","경기","부천시","사립","야간","산업체위탁","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"64","컴퓨터소프트웨어과(주간)","부천대학교","본교","전문대학","경기","경기","부천시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"65","컴퓨터소프트웨어과(주간)","오산대학교","본교","전문대학","경기","경기","오산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"66","컴퓨터소프트웨어학과(야간)","연성대학교","본교","전문대학","경기","경기","안양시","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"67","컴퓨터소프트웨어학과(야간)","인덕대학교","본교","전문대학","서울","서울","노원구","사립","야간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"68","컴퓨터소프트웨어학과(주간)","경민대학교","본교","전문대학","경기","경기","의정부시","사립","주간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"69","컴퓨터소프트웨어학과(주간)","경인여자대학교","본교","전문대학","인천","인천","계양구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"70","컴퓨터소프트웨어학과(주간)","동서울대학교","본교","전문대학","경기","경기","성남시","사립","주간","학사학위전공심화(경력없음)","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"71","컴퓨터소프트웨어학과(주간)","동서울대학교","본교","전문대학","경기","경기","성남시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"72","컴퓨터소프트웨어학과(주간)","인덕대학교","본교","전문대학","서울","서울","노원구","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
"73","컴퓨터정보학과(주간)","신안산대학교","본교","전문대학","경기","경기","안산시","사립","주간","일반과정","공학","전기ㆍ전자ㆍ컴퓨터","응용소프트웨어공학",""
